_id,ano,mes,processo_numero,solicitacao_data,solicitacao_hora,solicitacao_descricao,solicitacao_regional,solicitacao_bairro,solicitacao_localidade,solicitacao_endereco,solicitacao_roteiro,rpa_codigo,rpa_nome,solicitacao_microrregiao,solicitacao_plantao,solicitacao_origem_chamado,latitude,longitude,solicitacao_vitimas,solicitacao_vitimas_fatais,processo_situacao,processo_tipo,processo_origem,processo_localizacao,processo_status,processo_data_conclusao
50,2012,06-junho,8004255212,2012-06-20T00:00:00,10:34,O USUARIO PEDE  A VISTORIA DO PREDIO DE PRIMEIRO ANDAR POIS ESTÃO DEMOLIDO O FUNCIONARIO NÃO QUIZ SE IDENTIFICAR PEDE COM URGENCIA,GART,AFLITOS,AFLITOS,AV.ROSA E SILVA/N/1356,"FICA NA EMPRESA M E G,FICA APOS O ESTADIO DOS AFLITOS,FICA  DE ESQUINA AO SEGUNDO SEMAFORO.",Não informada,Não informado,"",Não,Não informado,-8.0396307,-34.899167299,"","",completo,ATENDIMENTO,"",CODECIR - GERÃNCIA DE ANÃLISE DE RISCOS TECNOLÃGICOS,ARQUIVADO,2013-05-08T08:12:21
51,2013,06-junho,8007250013,2013-06-06T00:00:00,12:06,VISTORIA NO PREDIO DA VESTI ROUGE NA PARTE DE ONDE OS FUNCIONARIOS TRABALHAM JA FOI ESCULTADO ESTALOS E O GESSO ESTA DANIFICANDO COM RISCO EMINENTE DE QUEDA  COM UM UNICO ANDAR DEVIDOS A PROBLEMAS ESTRUTURAIS COM URGENCIA,PLANICIE,AFLITOS,AFLITOS,RUA:AV CONSELHEIRO ROSA E SILVA N°403,NA LOJA VESTI ROUGE,Não informada,Não informado,NOROESTE - 1,Não,Não informado,-8.0397908,-34.896209,"","",completo,ATENDIMENTO,"",CODECIR - GERÊNCIA REGIONAL PLANA,ARQUIVADO,2014-06-11T16:36:16
52,2013,02-fevereiro,8001965713,2013-02-25T00:00:00,10:35,USUARIO SOLICITA UMA VISTORIA EM PREDIO QUE ESTA COM RISCO DEVIDO A UMA CONSTRUÇAO DE FEITA POR UM VIZINHO. A MESMA INF QUE O REBOCO DE UM DOS COMODOS DO DE SEU APTO CAIU E QUE ESTA APRESENTANDO RACHADURAS NA ESCADA. USUARIO PEDE URGENCIA!,GART,AFLITOS,AFLITOS,"AV ROSA E SILVA, 1144 APTO 204 EDIFICIO SAO LUCAS",JUNTO CLUB DO NAUTICO UM PREDIO AZUL E BRANCO.,Não informada,Não informado,NOROESTE - 1,Não,Não informado,-8.0406212,-34.8980383,"","",completo,ATENDIMENTO,"",CODECIR - GERÊNCIA DE ANÁLISE DE RISCOS TECNOLÓGICOS,ARQUIVADO,2013-02-26T11:28:30
53,2012,11-novembro,8008209512,2012-11-01T00:00:00,10:46,teste,NORTE,AFLITOS,teste,teste,teste,Não informada,Não informado,NOROESTE - 1,Não,Não informado,-8.0397908,-34.896209,"","",completo,ATENDIMENTO,"",CODECIR - GERÊNCIA REGIONAL NORTE,ARQUIVADO,2012-12-03T11:18:26
54,2024,07-julho,8039136324,2024-07-08T00:00:00,20:42,"USUÁRIA SOLICITA UMA VISTORIA, ELA INFORMA QUE EXISTE UMA INFILTRAÇÃO DO APARTAMENTO ONDE MORA, SÃO SEIS APARTAMENTOS, ELA INFORMA QUE ESSA INFILTRAÇÃO ESTÁ ACONTECENDO FAZ MUITO TEMPO E SOLICITA UMA VISTORIA PARA AVALIAR A ESTRUTURA, TEM MEDO QUE ALGO PIOR ACABE ACONTECENDO.",PLANICIE,AFOGADOS,AFOGADOS,EMILIA TORREAO N 53,AO LADO DO ESCRITÓRIO DE ADVOCACIA AGUINALDO SILVATELEFONE OPCIONAL 98677738,5,5-SUDOESTE,5.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
55,2024,07-julho,8040916924,2024-07-19T00:00:00,14:53,usuário solicita vistoria para dúplex com rachaduras.,PLANICIE,AFOGADOS,AFOGADOS,rua santa vitoria  n  74,de frente a creche municipal de afogados,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
56,2024,06-junho,8034653024,2024-06-15T00:00:00,13:39,USUARIO ALEGA QUE UMA PARTE DA LAJE NO QUARTO DA SUA TIA CEDEU AS 13/10 E A MESMA INFORMA QUE HA VARIAS RACHADURAS E NA CASA TEM UMA CADEIRANTE E GESTANTE,PLANICIE,AFOGADOS,AFOGADOS,RUA TRES DE AGOSTO 156,PROXIMO AO SINAL DO EROS HOTEL,5,5-SUDOESTE,5.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
57,2024,06-junho,8034982324,2024-06-17T00:00:00,11:31,"USUÁRIO SOLICITA VISTORIA EM MURO, INFORMA QUE PASSA PELO LOCAL E INFORMA QUE O MURO APRESENTA RISCO DE QUEDA, SERIA DE UM TERRENO DE UMA CONSTRUTORA.",PLANICIE,AFOGADOS,AFOGADOS,"Rua Napoleâo Texeira de Macêdo, SN",PRÓXIMO A IGREJA CRISTÃ MARANATA,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
58,2024,06-junho,8034645724,2024-06-15T00:00:00,13:16,USUARIA INFORMA QUE MURO DE UMA EMPRESA ESTA COM RISCO DE DESABAMENTO DEVIDO AS CHUVAS DE ONTEM A NOITE.,PLANICIE,AFOGADOS,AFOGADOS,RUA SAO MIGUEL N 289,EM FRENTE A DELEGACIA DEPATRI INFORMA CONTATO 081988801203,5,5-SUDOESTE,5.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
59,2024,04-abril,8020518824,2024-04-15T00:00:00,10:01,"USUÁRIO INFORMA QUE TEM UM MURO APRESENTANDO RISCO, POIS ESTÁ DESNIVELADO E COM RACHADURAS. DESEJA VISTORIA. EM FRENTE AO 331",PLANICIE,AFOGADOS,AFOGADOS,"RUA FLORENTINO OLIMPIO DOS SANTOS, 331",PROX AO GILMAQUE,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
60,2024,04-abril,8018210024,2024-04-04T00:00:00,10:40,USUARIO SOLICITA VISTORIA EM SUA RESIDENCIA. SOLICITANTE INFORMA QUE TETO SE ENCONTRA COM RACHADURAS E DESEJA SABER SE O MESMO APRESENTA RISCO DE DESABAMENTO.,PLANICIE,AFOGADOS,AFOGADOS,"ESTRADA DOS REMEDIOS, N89",PROXIMO A TUPAN,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
61,2024,04-abril,8017837924,2024-04-03T00:00:00,08:11,"SOLICITA VISTORIA MURO DA CASA COM RISCO DE QUEDA DEVIDO OS FUNCIONARIOS NÃO TER O DEVIDO CUIDADO ,MORADOR INFORMA QUE É UM SERVIÇO DA PREFEITURA .",PLANICIE,AFOGADOS,AFOGADOS,RUA UBERABA 112,AO LADO DA QUADRA DO COELGIO SANTA TERESINHA,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
62,2024,04-abril,8022133624,2024-04-22T00:00:00,15:47,VISTORIA DE VIABILIDADE.USUÁRIO SOLICITA VISTORIA DE VIABILIDADE PARA MURO QUE ESTA COM RACHADURAS .,PLANICIE,AFOGADOS,AFOGADOS,RUA DO ROSÁRIO n  CASA 62 E 70,EM FRENTE AO BANCO DO BRASIL,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
63,2024,02-fevereiro,8009655224,2024-02-23T00:00:00,11:25,"USUARIO SOLICITA VISTORIA EM SUA RESIDENCIA. INFORMA QUE ESTA COM RACHADURAS, POIS FOI CONTRUIDO UMA FABRICA AO LADO DA SUA CASA E CAUSOU OS DANOS. CIENTE DO PROTOCOLO",PLANICIE,AFOGADOS,AFOGADOS,"RUA SANTO CRISTO, N  40","ENTRADA DA IGREJA DA FE, PROXIMO A ESQUERDA.",5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
64,2024,01-janeiro,8004510624,2024-01-26T00:00:00,14:33,USUARIA SOLICITA VISTORIA EM TERRENO ABANDONADO COM PARADES RACHADAS E RISCO DE DESABAMENTO EM IMOVEIS PROXIMOS,PLANICIE,AFOGADOS,AFOGADOS,RUA DOS INCONFIDENTES SN,ENFRENTE A TRANSPORTADORA PONTUAL N 514,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
65,2024,01-janeiro,8001285124,2024-01-10T00:00:00,09:37,USUARIO SOLICITA VISTORIA EM ARVORE. SOLICITANTE INFORMA QUE ARVRORE ESTA INCLINADA POR CIMA DA CASA E PAREDE SE ENCONTRA RACHADA.,PLANICIE,AFOGADOS,AFOGADOS,"RUA DO ROSARIO, N07",EM FRENTE AO BANCO DO BRASIL,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
66,2023,12-dezembro,8081990023,2023-12-04T00:00:00,10:32,SOLICITA VISTORIA PREDIO COM RACHADURAS. RISCO DE CAIR.,PLANICIE,AFOGADOS,AFOGADOS,"RUA JOINVILE, 245",PROX CLUBE SGTO  WOLF,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
67,2023,12-dezembro,8081987023,2023-12-04T00:00:00,10:32,SOLICITA VISTORIA PREDIO COM RACHADURAS. RISCO DE CAIR.,PLANICIE,AFOGADOS,AFOGADOS,"RUA JOINVILE, 245",PROX CLUBE SGTO  WOLF,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
68,2023,11-novembro,8078636523,2023-11-10T00:00:00,14:57,"USUÁRIO INFORMA QUE O CENTRO DE DISTRIBUIÇÃO DA TUPAN APRESENTA RACHADURAS E DILATAÇÃO, FICA AO LADO DO POSTO DE COMBUSTIVEL DE GÁS, INFORMA QUE ESTÁ APRESENTANDO RISCOS  POIS ESTÁ CAINDO PEDAÇOS DE CONCRETOS E PODE OCORRER EXPLOSAO EM DECORRENCIA AO GÁS.",PLANICIE,AFOGADOS,AFOGADOS,"AV ESTRADA DOS REMEDIOS, 1462","CENTRO DE DISTRIBUIÇÃO DA TUPAN,",5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
69,2023,11-novembro,8081204523,2023-11-28T00:00:00,08:33,USUARIO SOLICTA VISTORIA NA PORTA DE ENTRADA LATERAL DO PREDIO POIS APRESENTA DIFICULDADE PARA ABERTURA (ESTA SEM MARSANETA E DEVIDO AO PESO FICA EMPERRANDO) EM CASO DE INCENDIO,PLANICIE,AFOGADOS,AFOGADOS,"RUA CORONEL ALFREDO DUARTE, 232,",AO LADO B1 VIGILANCIA NA RUA DO POSTO SETTA,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
70,2023,11-novembro,8077375323,2023-11-04T00:00:00,09:52,"USUARIO SOLICITA VISTORIA EM EDIFICIO. INFORMA QUE TODO O REVESTIMENTO ESTA CAINDO, TEM RACHADURA,  FISSURAS E AS FERRAGENS DO APT. 106 ESTÃO APARENTES. . CIENTE DO PROTOCOLO.  EDIFÍCIO: JADIRA SINDICO: PAULO CESAR (99533759).",PLANICIE,AFOGADOS,AFOGADOS,"Estrada dos Remédios, N  1059",PROXIMO AO NOVO ATACAREJO E AO LADO DA FARMA PAULA. CEP: 50750360,5,5-SUDOESTE,5.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
71,2023,11-novembro,8079159623,2023-11-14T00:00:00,13:37,USUARIA SOLICITA VISTORIA POIS INFORMA QUE VIZINHA ESTA REALIZANDO UMA CONSTRUCAO ONDE NAO FOI AUTORIZADO COLOCA LAJE POIS ESTA INVADINDO PAREDE DO IMOVEL DA MESMA ONDE ESTA COM VARIAS INFILTRACOES E RACHADURAS DEVIDO A CONSTRUCAO,PLANICIE,AFOGADOS,AFOGADOS,RUA CRUCILANDIA N 37,AO LADO DO CENTRO ESPIRITA,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
72,2023,11-novembro,8078068723,2023-11-08T00:00:00,20:28,"USUÁRIO INFORMA QUE TEM UMA CONSTRUÇÃO NO LOCAL, COM RISCOS! Informa que no Edifício tipo cachão com sobre lojas se encontra com rachaduras e infiltração nos apartamentos, informa  que caio pedaços do teto  do apartamento.",PLANICIE,AFOGADOS,AFOGADOS,"Avenida estrada dos remédios, n1059, bloco A","fica no Edifício Jandira, próximo da farmácia Farma Paula / Telefone: 95138889 / Teonila Lobo .",5,5-SUDOESTE,5.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
73,2023,11-novembro,8079081723,2023-11-14T00:00:00,09:27,SOLICITA VISTORIA MORADOR ESTA QUEBRANDO AS PAREDES DE PREDIO CAIXÃO PARA AMPLIAR A AREA DE SERVIÇO,PLANICIE,AFOGADOS,AFOGADOS,RUA OLEGARIO MARIANO 55,NA RUA CONTRARIA AO ATACAREJO E PROXIMO AO CHARME DA BRASA,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
74,2023,09-setembro,8068848023,2023-09-18T00:00:00,13:35,usuaria solicita vistoria para o muro que está com rachaduras.,PLANICIE,AFOGADOS,AFOGADOS,av mus tardinha n  2 a,a barraca de zé touro ou procura fia.,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
75,2023,08-agosto,8065042423,2023-08-29T00:00:00,11:18,USUARIO SOLICITA VISTORIA EM PREDIO. SOLICITANTE INFORMA QUE PREDIO É ANTIGO E DESEJA SABER SE OFERECE ALGUM RISCO.,PLANICIE,AFOGADOS,AFOGADOS,"RUA DESEMBARGADOR MEDEIROS CORREIA, N21",PROXIMO AO LAVO JATO,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
76,2023,08-agosto,8064275523,2023-08-24T00:00:00,15:05,USUARIO INFORMA QUE SEU APARTAMENTO ESTA COM RACHADURA NO TETO E COM VAZAMENTO E ALGUMAS COLUNAS ESTAO COM RACHADURAS,PLANICIE,AFOGADOS,AFOGADOS,RUA JOANVILLE 245,POR TRAS DO CLUBE SARGENTO WOLFF,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
77,2023,07-julho,8051384523,2023-07-03T00:00:00,10:31,USUARIO SOLICITA VISTORIA EM SUA RESIDENCIA. USUARIO INFORMA QUE VAZAMENTO DE CASA VIZINHA ESTA INFILTRANDO NA SUA RESIDENCIA. SOLICITANTE INFORMA QUE ESTA IMPOSSIBILITADA DE UTILIZAR BANHEIRO POR CONTA DESSE VAZAMENTO.,PLANICIE,AFOGADOS,AFOGADOS,"ESTRADA DOS REMEDIOS , N1059 BLOCO A","PROXIMO A FARMACIA PAULA, PROXIMO AO ATACAREJO",5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
78,2023,07-julho,8051286323,2023-07-02T00:00:00,11:30,"USUARIO INFORMA QUE CAIXA DÁGUA CAIU DO PREDIO,  ESTA COM RACHADURA, RISCO DE CAIR SOLICITA VISTORIA.",PLANICIE,AFOGADOS,AFOGADOS,"RUA ESCRITOR ALVARO LINS 195,",PROX HOTEL EROS,5,5-SUDOESTE,5.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
79,2023,07-julho,8054180123,2023-07-11T00:00:00,20:00,"USUÁRIA SOLICITA UMA VISTORIA, ELA INFORMA QUE A CASA ESTÁ APRESENTANDO RACHADURAS, ELA DIZ QUE MORA DE ALUGUEL E A DONA DA CASA NÃO CUIDA, ELA DIZ QUE ALGUMAS PEDRAS DE CERÂMICA ESTÃO DESTACANDO, INFORMA QUE A PIA ESTOUROU, A ÁGUA DA MARÉ ENTRA POR UM BURACO NA PAREDE QUE DÁ DIRETO NA BASE DA CASA.",PLANICIE,AFOGADOS,AFOGADOS,RUA IPUA N 215,PRÓXIMO DA PADARIA LISBOA,5,5-SUDOESTE,5.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
80,2023,07-julho,8051300623,2023-07-02T00:00:00,14:46,usuaria solicita vistoria pois o condomínio esta com varias rachaduras e vazamentos.,PLANICIE,AFOGADOS,AFOGADOS,rua escritor Álvaro Lins n  bloco a 01,proximo a padaria João invile.,5,5-SUDOESTE,5.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
81,2023,06-junho,8051053923,2023-06-30T00:00:00,13:49,Usuário solicita vistoria em imovel com infiltrações e fissuras,PLANICIE,AFOGADOS,AFOGADOS,Rua Cosme Viana n176,ao lado do serviço de carga e descarga do novo atacarejo,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
82,2023,06-junho,8048972723,2023-06-26T00:00:00,09:18,USUARIA SOLICITA VISTORIA PARA VERIFICAR OS SERVIÇOS REALIZADOS APÓS A VISTORIAS REALIZADA PELA SEDEC EM 2013 PARA AVALIAR AS NORMALIDADES POR PARTE DO CONDOMINIO.,PLANICIE,AFOGADOS,AFOGADOS,"RUA ESCRITOR ALVARO LINS, 208",PROXIMO AO CLUBE SARGENTO WOLF NA RUA DA QUITANDA DA DONARIA. CONDOMINIO ALAMEDA NOVO PRADO SINDICO VALDEMIR RODRIGUES PEREIRA FONE: 81988173582,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
83,2023,06-junho,8047131923,2023-06-16T00:00:00,09:33,"USUARIA INFORMA QUE ESTA TENDO UMA CONSTRUÇAO AO LADO DE SUA RESIDENCIA ONDE O MURO ESTA SENDO CONSTRUIDO, QUE ESTA APRESENTANDO RACHADURAS. PEDE URGENCIA DE UMA EQUIPE NO LOCAL",PLANICIE,AFOGADOS,AFOGADOS,RUA NICOLAU PEREIRA N 1054,DE FRENTE A ESTAÇAO DE AFOGADOS,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
84,2023,06-junho,8046579623,2023-06-14T00:00:00,21:41,"USUÁRIO INFORMA QUE TEM UMA CONSTRUÇÃO NO LOCAL, COM RISCOS! informa que uma arvore caio e Danificou o primeiro andar, pois a casa já tem rachaduras na escada de acesso ao primeiro andar, térreo contem rachaduras nas paredes.",PLANICIE,AFOGADOS,AFOGADOS,"RUA Cotunguba, n 189",próximo do posto de gasolina BR,5,5-SUDOESTE,5.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
85,2023,06-junho,8043224223,2023-06-01T00:00:00,11:44,"Usuária solicita vistoria para sua casa informando que depois de uma visita da celpe houve um curto circuito ocasionando um incendio, a mesma informa que o telhado cedeu e as paredes estão com rachaduras",PLANICIE,AFOGADOS,AFOGADOS,Rua escritor de Souza Barros N 38,Antes da estaçao do largo da paz,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
86,2023,05-maio,8040932623,2023-05-25T00:00:00,08:40,USUARIO SOLICITA VISTORIA EM RESIDENCIA VIZINHA.USUARIO INFORMA QUE CASA SE ENCONTRA CIM RACHADURAS E TETO ESTA AFUNDANDO.,PLANICIE,AFOGADOS,AFOGADOS,"AVENIDA CENTRAL, N3043",PROXIMO A MATERNIDA BANDEIRA FILHO,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
87,2023,05-maio,8038104223,2023-05-18T00:00:00,10:52,"USUARIA INFORMA  CASA COM RACHADURAS , SOLICITA VISTORIA.",PLANICIE,AFOGADOS,AFOGADOS,"RUA  MIAMI,18",PROX A FIORI,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
88,2023,05-maio,8036021223,2023-05-10T00:00:00,12:50,vistoria para um apartamento com rachaduras.,PLANICIE,AFOGADOS,AFOGADOS,rua vinte um de abril  n  773,fica ao lado do clube ferroviário.,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
89,2023,05-maio,8042233823,2023-05-29T00:00:00,15:29,"Usuária solicita vistoria em sua casa informando que esta com infiltração, rachaduras e risco de desabamento",PLANICIE,AFOGADOS,AFOGADOS,av Central N 3043,Proximo a maternidade Bandeira Filho,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
90,2023,05-maio,8039479023,2023-05-23T00:00:00,13:23,verificar surgimento de rachaduras em residencia,PLANICIE,AFOGADOS,AFOGADOS,Av mustardinha n 2A,barraca de zé touro,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
91,2023,05-maio,8041014023,2023-05-25T00:00:00,10:13,USUÁRIO SOLICITA COLOCAÇÃO DE LONA EM BARREIRA DE GRANDE PORTE.,PLANICIE,AFOGADOS,AFOGADOS,"RUA MAIANE, N57",PRÓXIMO AO VAREJÃO DO POVO,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
92,2023,05-maio,8041353023,2023-05-26T00:00:00,08:34,"USUARIA ACREDITA QUE A ARVORE ESTÁ PODRE, INFORMA QUE ESTÁ CAINDO PARA O LADO DA SUA CASA, DESEJA VISTORIA PARA SABER SE APRESENTA RISCO A SUA MORADIA.",PLANICIE,AFOGADOS,AFOGADOS,"AV CENTRAL, 3371",PROXIMO A PRAÇA DO IPIRANGA,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
93,2023,03-marco,8020767023,2023-03-18T00:00:00,14:22,USUARIO SOLICITA VISTORIA EM GALPAOUSUARIO INFORMA QUE GALPAO ESTA MINANDO AGUA PELO SOLO E CALÇADA E CORRE RISCO DE DESABAMENTO,PLANICIE,AFOGADOS,AFOGADOS,"RUA POTIRAGUA, N93",PROXIMO A BELO ALTO PEÇAS,5,5-SUDOESTE,5.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
94,2023,03-marco,8020088523,2023-03-16T00:00:00,08:19,"USUARIO INFORMA MURO DE VIZINHO COM RACHARUARAS, QUEBRADO RISCO DE CAIR . SOLICITA VISTORIA.",PLANICIE,AFOGADOS,AFOGADOS,"RUA CINCO DE NOVEMBRO, 310 CASA  L",PROX IGREJA DOS MORMOS,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
95,2023,02-fevereiro,8010604023,2023-02-08T00:00:00,17:47,SOLICITA VISTORIA PARA O BLOCO C DO CONDOMINIO. COND. COM MAIS DE 44 ANOS DE CONSTRUÇÃO. BLOCO COM 5 ANDARES 4 APARTAMENTOS POR ANDAR. PRÉDIO DO TIPO PILOTIS. PREDIO COM RACHADURAS EM TODA A EXTRUTURA PRINCIPALMENTE NAS COLUNAS DE SUSTENTAÇÃO TAMBÉM POSSUI MUITA INFILTRAÇÃO.,PLANICIE,AFOGADOS,AFOGADOS,RUA JOINVILLE N245,COND. JOINVILLE. PROXIMO AO CLUBE SGT WOLF. E EM FRENTE A AUTO SERVIÇOS LUCENA.,5,5-SUDOESTE,5.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
96,2023,02-fevereiro,8009484523,2023-02-06T00:00:00,15:49,INFORMA QUE A CAASA ESTA COM RACHADURAS,PLANICIE,AFOGADOS,AFOGADOS,RUA SANTA HELENA N 151,APOS A PANIFICADORA NOSSA SENHORA DA CONCEIÇÃO,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
97,2023,02-fevereiro,8009065223,2023-02-06T00:00:00,12:23,verificar deslizamento de barreira que derrubou o muro da ancaps,PLANICIE,AFOGADOS,AFOGADOS,Rua Jacira n 210,sem pontos de referencia,5,5-SUDOESTE,5.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
